nome_municipio,sigla_uf,ano,investimento_total_prestador,perc_privado,media_desempenho,populacao_urbana
Niterói,RJ,2021,44378415.45,100.00,74.14,516981.00
Santos,SP,2019,34595902.97,100.00,74.05,433666.00
Santos,SP,2020,32247890.84,100.00,73.45,433666.00
Niterói,RJ,2020,18825871.78,100.00,72.82,516981.00
Santos,SP,2021,27346081.20,100.00,72.79,433666.00
Niterói,RJ,2019,34969955.39,100.00,72.30,516981.00
Franca,SP,2019,18458665.19,100.00,72.23,352245.00
"São José do Rio Preto",SP,2020,54394853.97,100.00,72.05,440709.00
Petrópolis,RJ,2019,11765183.69,100.00,71.93,291958.00
Franca,SP,2020,14017397.34,100.00,71.85,352245.00
Petrópolis,RJ,2021,24577890.97,100.00,71.80,291958.00
Franca,SP,2021,28281013.32,100.00,71.52,352245.00
"São José do Rio Preto",SP,2019,44604013.17,100.00,71.27,440709.00
"Presidente Prudente",SP,2019,9050667.09,100.00,70.72,227221.00
Limeira,SP,2021,35627862.18,100.00,70.69,301509.00
Petrópolis,RJ,2020,16793146.73,100.00,70.68,291958.00
"Rio Claro",SP,2020,0.00,0,70.66,204448.00
"São José do Rio Preto",SP,2021,43474739.70,100.00,70.65,440709.00
"Presidente Prudente",SP,2020,10839187.43,100.00,70.48,227221.00
"Presidente Prudente",SP,2021,8048871.44,100.00,70.27,227221.00
Maringá,PR,2019,18538142.32,100.00,69.94,428620.00
Maringá,PR,2021,10669162.27,100.00,69.85,428620.00
Maringá,PR,2020,24079383.02,100.00,69.67,428620.00
"Praia Grande",SP,2020,290077043.02,100.00,69.40,336454.00
Uberaba,MG,2019,8161941.20,37.39,69.25,332676.00
Jundiaí,SP,2021,43334229.82,100.00,69.25,408569.00
Jundiaí,SP,2020,48499444.82,100.00,68.70,408569.00
"Rio Claro",SP,2019,0.00,0,68.69,204448.00
Limeira,SP,2020,70475966.72,100.00,68.66,301509.00
Jundiaí,SP,2019,23811971.59,100.00,68.63,408569.00
Limeira,SP,2019,78799779.41,100.00,68.55,301509.00
Taubaté,SP,2019,15061069.90,100.00,68.48,313898.00
Curitiba,PR,2021,252523113.10,100.00,68.38,1963726.00
Taubaté,SP,2020,20755267.29,100.00,68.33,313898.00
Curitiba,PR,2020,158053648.92,100.00,68.24,1963726.00
Hortolândia,SP,2021,12273730.65,100.00,68.08,237570.00
"Praia Grande",SP,2019,214369703.65,100.00,67.91,336454.00
