ano,id_municipio,indice_agua_ligacao,indice_hidrometracao,indice_macromedicao,indice_perda_faturamento,indice_coleta_esgoto,indice_tratamento_esgoto,indice_consumo_agua,indice_fluoretacao_agua
2021,2709152,1.0,50.07,0.0,-4.17,86.96,100.0,95.83,0.0
2021,2902104,1.04,97.86,93.3,13.9,2.41,72.07,79.02,0.0
2020,2905107,1.01,93.09,88.37,27.37,6.09,100.0,66.8,0.0
2021,2908507,1.02,100.0,100.0,50.86,7.49,100.0,76.82,0.0
2020,2909505,1.0,99.96,100.0,10.37,71.46,100.0,71.46,0.0
2020,2910750,1.0,99.86,96.91,46.61,50.44,0.0,54.67,0.0
2021,2913200,1.03,99.99,100.0,23.03,74.54,100.0,67.66,0.0
2019,2913507,1.02,99.95,99.97,16.69,9.66,100.0,68.66,0.0
2021,2913606,1.23,99.94,100.0,30.86,70.05,100.0,63.25,0.0
2020,2915106,1.01,100.0,100.0,7.58,49.79,0.0,75.46,0.0
2020,2917607,1.02,99.89,100.0,21.81,40.87,100.0,75.9,0.0
2020,2301901,1.01,98.94,100.0,38.61,10.82,100.0,49.77,0.0
2021,2303501,1.02,99.99,100.0,10.48,3.22,100.0,60.01,0.0
2020,2304400,1.3,99.99,100.0,47.07,59.17,100.0,61.42,82.34
2019,2305407,1.0,91.16,0.0,53.68,42.29,95.16,70.16,68.03
2019,2310308,1.01,99.98,100.0,-8.29,100.0,0.0,61.7,25.46
2019,2312403,1.04,99.99,100.0,23.01,100.0,100.0,48.84,0.0
2020,2312908,1.07,99.9,99.26,39.64,48.27,100.0,49.21,96.76
2019,3202504,1.15,99.26,92.54,4.52,49.88,0.0,95.48,92.54
2020,3202553,1.14,80.84,7.16,42.21,99.14,0.0,57.79,0.0
2020,3204351,1.12,97.46,0.0,10.16,80.0,100.0,72.94,100.0
2020,3205101,1.21,97.93,98.08,43.38,39.1,88.97,51.73,31.18
2021,5200258,1.09,95.72,76.59,44.13,33.64,86.05,56.72,0.0
2021,5202155,1.01,95.38,100.0,17.92,66.91,100.0,79.4,100.0
2020,5205471,1.03,100.0,14.17,3.91,57.33,100.0,71.49,16.17
2021,5211503,1.05,98.19,99.81,40.36,100.0,100.0,59.01,90.95
2019,5221700,1.01,95.9,99.74,22.44,3.59,100.0,76.51,86.77
2021,2111300,1.49,40.14,41.16,60.56,80.0,25.98,39.27,0.0
2019,3100807,1.02,100.0,0.0,5.35,87.26,0.0,71.39,0.0
2021,3113503,1.03,100.0,93.32,19.59,64.21,87.72,80.41,93.32
