ano,id_municipio,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2021,2709152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2902104,891041.92,21589.12,111408.49,1024039.53,0.0,0.0,1024039.53,95000.0,26550.0,9000.0,0.0,0.0,0.0,825550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2905107,800074.22,15333.77,20316.1,835783.41,0.0,0.0,835783.41,,,,,,,,,,,,,,
2021,2908507,5879419.51,4428.31,37818.82,4326669.24,0.0,2140078.81,6466748.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2909505,9011.25,0.0,17126.4,26187.65,0.0,0.0,26187.65,,,,,,,,,,,,,,
2020,2910750,301108.42,0.0,47095.25,348341.16,0.0,0.0,348341.16,0.0,228725.81,0.0,,,,228725.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2913200,658649.96,1288206.74,52783.36,1999640.06,0.0,0.0,1999640.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2913507,125155.4,0.0,0.0,125155.4,0.0,0.0,125155.4,,,,,,,,,,,,,,
2021,2913606,3740113.01,9825204.21,429957.29,11643769.66,3980137.87,0.0,15623907.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2915106,57814.1,0.0,26931.07,84823.8,0.0,0.0,84823.8,8000.0,26000.0,3000.0,,,,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2917607,700913.57,389400.07,148306.85,1239053.49,0.0,0.0,1239053.49,,,,,,,,,,,,,,
2020,2301901,83544.2,34284.02,24261.97,142090.19,0.0,0.0,142090.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2303501,2972041.28,11971.79,0.0,399285.79,,2584727.28,2984013.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2304400,92845389.03,41983079.04,11246742.13,121071664.0,12267566.43,12735979.77,146075210.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2305407,8531.0,0.0,0.0,8531.0,,,8531.0,0.0,236030.61,0.0,0.0,0.0,,236030.61,,,,,,,
2019,2310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,30000.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2312403,6999.41,0.0,0.0,6999.41,0.0,0.0,6999.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2312908,570122.15,40420.0,40392.82,383598.06,0.0,267336.91,650934.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3202504,0.0,6248.64,94089.33,100337.97,0.0,0.0,100337.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3202553,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3204351,7999.0,0.0,3126.9,11125.9,0.0,0.0,11125.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3205101,5219731.85,4675208.95,665260.31,10286390.42,,273810.69,10560201.11,,,,,,,,,,,,,,
2021,5200258,910573.52,24562.57,114726.66,,1094242.11,0.0,1094242.11,,,,,,,,,,,,,,
2021,5202155,10174.46,30473.09,0.0,,40647.55,0.0,40647.55,,,,,,,,,,,,,,
2020,5205471,0.0,0.0,0.0,,,,0.0,103322.88,22511.31,0.0,125834.19,0.0,0.0,125834.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,5211503,881044.87,47641.34,127372.29,,1077482.93,0.0,1077482.93,,,,,,,,,,,,,,
2019,5221700,4687.19,3277.14,0.0,11241.47,,0.0,11241.47,,,,,,,,,,,,,,
2021,2111300,5651252.99,16771604.82,1058422.53,23481280.34,0.0,0.0,23481280.34,,,,,,,,,,,,,,
2019,3100807,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3113503,105505.75,64123.33,83438.77,148093.25,209959.18,0.0,358052.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3116001,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020,3120003,20679.17,0.0,6487.01,27144.68,21.5,0.0,27166.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3126109,1220245.91,0.0,0.0,1220245.91,0.0,0.0,1220245.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3127503,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3129400,36597.12,0.0,39507.71,21669.81,60730.2,0.0,82400.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3130655,28011.62,46159.02,30692.71,24857.98,88679.37,0.0,113537.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
