id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto,sigla_uf,nome_uf,nome_municipio,status_municipio,regiao
2709152,37674.0,37674.0,37500.0,37674.0,28000.0,AL,Alagoas,Teotônio Vilela,Interior,Nordeste
2902104,20874.0,20874.0,20820.0,20874.0,17030.0,BA,Bahia,Araci,Interior,Nordeste
2908507,26280.0,26280.0,26143.0,26280.0,1557.0,BA,Bahia,Conceição do Jacuípe,Interior,Nordeste
2913200,20768.0,20768.0,20695.0,20768.0,18248.0,BA,Bahia,Ibotirama,Interior,Nordeste
2913606,132864.0,132864.0,130926.0,132864.0,86763.0,BA,Bahia,Ilhéus,Interior,Nordeste
2303501,61730.0,61730.0,33972.0,61730.0,1771.0,CE,Ceará,Cascavel,Interior,Nordeste
5200258,222514.0,222514.0,215705.0,222514.0,102941.0,GO,Goiás,Águas Lindas de Goiás,Interior,Centro-Oeste
5202155,5396.0,5396.0,5396.0,5396.0,3997.0,GO,Goiás,Araguapaz,Interior,Centro-Oeste
5211503,102312.0,102312.0,102312.0,102312.0,102312.0,GO,Goiás,Itumbiara,Interior,Centro-Oeste
2111300,1054007.0,1054007.0,964243.0,1054007.0,556308.0,MA,Maranhão,São Luís,Capital,Nordeste
3113503,6941.0,6941.0,6941.0,6941.0,5666.0,MG,Minas Gerais,Carbonita,Interior,Sudeste
3129400,3432.0,3432.0,3328.0,3432.0,3432.0,MG,Minas Gerais,Ibertioga,Interior,Sudeste
3130655,2741.0,2741.0,2741.0,2741.0,1023.0,MG,Minas Gerais,Indaiabira,Interior,Sudeste
3132503,24007.0,24007.0,22354.0,24007.0,20720.0,MG,Minas Gerais,Itamarandiba,Interior,Sudeste
3134608,12965.0,12965.0,12251.0,12965.0,8030.0,MG,Minas Gerais,Jaboticatubas,Interior,Sudeste
3135050,20923.0,20923.0,19920.0,20923.0,7214.0,MG,Minas Gerais,Jaíba,Interior,Sudeste
3145356,4618.0,4618.0,4608.0,4618.0,4607.0,MG,Minas Gerais,Novo Oriente de Minas,Interior,Sudeste
3150901,1869.0,1869.0,1869.0,1869.0,1853.0,MG,Minas Gerais,Piranguçu,Interior,Sudeste
3154507,4552.0,4552.0,4552.0,4552.0,2712.0,MG,Minas Gerais,Riacho dos Machados,Interior,Sudeste
