ano,id_municipio,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado
2021,2709152,3585890.95,3585890.95,0.0,0.0,0.0,3585890.95,0.0
2021,2902104,5615949.54,5581600.34,34349.2,251840.54,0.0,5867790.08,0.0
2020,2905107,1326441.18,1283465.95,42975.23,48927.85,0.0,1375369.03,0.0
2021,2908507,2627681.22,2576861.4,50819.82,100582.44,0.0,2728263.66,0.0
2020,2909505,1045183.68,673846.05,371337.63,57201.13,0.0,1102384.81,0.0
2020,2910750,3056559.91,3056556.91,2.0,122909.82,0.0,3179470.73,1.0
2021,2913200,8501445.12,5206357.8,3295087.32,330586.59,0.0,8832031.71,0.0
2019,2913507,3010904.93,2899089.88,111815.05,117515.94,0.0,3128420.87,0.0
2021,2913606,63802737.21,43732767.56,20069969.65,1860044.18,0.0,65662781.39,0.0
2020,2915106,2099243.68,2064243.68,2000.0,60115.15,0.0,2159358.83,33000.0
2020,2917607,10588893.44,8233891.37,2355002.07,362824.39,0.0,10951717.83,0.0
2020,2301901,9302419.78,8405215.54,897204.24,239075.44,0.0,9541495.22,0.0
2021,2303501,6945402.39,6779013.55,166388.84,238038.21,0.0,7183440.6,0.0
2020,2304400,869819397.25,544876243.11,324943154.14,17639250.65,0.0,887458647.9,0.0
2019,2305407,5104162.0,4069962.0,1034200.0,149433.0,0.0,5253595.0,0.0
2019,2310308,2033285.34,1953285.34,80000.0,75913.12,0.0,2109198.46,0.0
2019,2312403,14979561.94,3888630.72,11090931.22,196555.51,0.0,15176117.45,0.0
2020,2312908,45027004.36,31827287.41,13199716.95,6748017.7,0.0,51775022.06,0.0
2019,3202504,2001647.38,1397988.71,603658.67,229221.05,0.0,2230868.43,0.0
2020,3202553,607648.1,432060.44,175587.66,31184.21,0.0,638832.31,0.0
2020,3204351,1878889.93,1291000.57,587889.36,58694.54,0.0,1937584.47,0.0
2020,3205101,19864592.85,15916695.11,3947897.74,103967.01,0.0,19968559.86,0.0
2021,5200258,32340457.29,24620632.01,7719825.28,1246979.71,0.0,33587437.0,0.0
2021,5202155,2378190.81,1467265.49,910925.32,28712.49,0.0,2406903.3,0.0
2020,5205471,2678991.04,1875293.72,803697.32,80011.06,0.0,2759002.1,0.0
2021,5211503,45790750.63,35415207.71,10375542.92,795040.66,0.0,46585791.29,0.0
2019,5221700,4082632.99,3947825.48,134807.51,61794.3,0.0,4144427.29,0.0
2021,2111300,332393912.75,188192490.96,144201421.79,11758309.59,0.0,344152222.34,0.0
2019,3100807,194367.54,194367.54,0.0,35632.46,0.0,230000.0,0.0
2021,3113503,2532952.82,1558106.7,974846.12,16905.84,0.0,2549858.66,0.0
2019,3116001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3120003,556218.08,556218.08,0.0,13807.12,0.0,570025.2,0.0
2019,3126109,14488138.43,9762235.18,4725903.25,830761.6,0.0,15318900.03,0.0
2019,3127503,502857.84,502857.84,0.0,0.0,0.0,502857.84,0.0
2021,3129400,874085.8,874085.8,0.0,7297.09,0.0,881382.89,0.0
2021,3130655,705848.44,532582.82,173265.62,5251.03,0.0,711099.47,0.0
2019,3130903,3388819.42,2758806.0,630013.42,61746.05,0.0,3450565.47,0.0
2021,3132503,6963216.87,5097403.7,1865813.17,41268.6,0.0,7004485.47,0.0
2021,3134608,3953548.14,2432575.58,1520972.56,61947.65,0.0,4015495.79,0.0
2021,3135050,7221470.33,5392049.66,1829420.67,105471.06,0.0,7326941.39,0.0
2020,3136900,2027330.09,1967330.09,60000.0,21315.99,0.0,2048646.08,0.0
2019,3137809,4410976.67,3501501.41,909475.26,457392.09,0.0,4868368.76,0.0
2020,3138302,894805.51,698403.98,196401.53,13232.23,0.0,908037.74,0.0
2021,3145356,1501789.74,924018.7,577771.04,9902.8,0.0,1511692.54,0.0
2021,3150901,1280651.6,1109403.34,85624.13,12141.82,0.0,1292793.42,85624.13
2021,3154507,1415223.56,942482.71,472740.85,19049.33,0.0,1434272.89,0.0
2021,3164308,2984062.24,1651589.39,1332472.85,36039.06,0.0,3020101.3,0.0
2020,3165503,578001.95,578001.95,0.0,8358.72,0.0,586360.67,0.0
2020,3165578,1080183.16,1050426.22,29756.94,5834.35,0.0,1086017.51,0.0
2019,3170438,1204154.96,594592.0,609562.96,14067.11,0.0,1218222.07,0.0
2020,5001243,2104364.08,2054981.09,49382.99,84617.81,0.0,2188981.89,0.0
2019,5008305,49122320.23,36587338.26,12534981.97,5997773.68,0.0,55120093.91,0.0
2021,5101704,4200576.16,3757658.36,442917.8,0.0,0.0,4200576.16,0.0
2019,5106828,1345357.16,1063303.01,282054.15,13696.59,0.0,1359053.75,0.0
2019,1504604,1325834.64,905834.64,420000.0,1069.0,0.0,1326903.64,0.0
2021,1505502,12302005.04,11890558.64,411446.4,109129.85,0.0,12411134.89,0.0
2019,2503209,25734317.58,21436590.6,4297726.98,1182018.6,0.0,26916336.18,0.0
2020,2515203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2600609,966797.73,966797.73,0.0,28691.62,0.0,995489.35,0.0
2019,2603454,18736386.23,18426915.66,309470.57,529619.37,0.0,19266005.6,0.0
2020,2604106,97034775.38,72218928.01,24815847.37,1031826.12,0.0,98066601.5,0.0
2019,2614105,2773310.05,2773310.05,0.0,412767.02,0.0,3186077.07,0.0
2021,2203750,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2019,4101804,68321476.83,47250409.67,21071067.16,2237590.23,0.0,70559067.06,0.0
2021,4106902,1187244084.75,672872967.84,514371116.91,15476647.97,0.0,1202720732.72,0.0
2019,4107801,2138729.86,1790008.01,348721.85,133652.61,0.0,2272382.47,0.0
2020,4109401,83176873.6,51245762.09,31931111.51,1944892.58,0.0,85121766.18,0.0
2021,4109708,9414841.28,8054731.08,1360110.2,246144.44,0.0,9660985.72,0.0
2020,4111506,12971349.2,11186966.58,1784382.62,387953.1,0.0,13359302.3,0.0
2020,4114609,19210379.78,16182020.63,3028359.15,1090285.61,0.0,20300665.39,0.0
2020,4119301,6602137.92,5076710.9,1525427.02,200069.52,0.0,6802207.44,0.0
2021,4127304,3514488.18,2762709.64,751778.54,187713.44,0.0,3702201.62,0.0
2021,4127908,2589702.85,1618721.33,970981.52,90662.89,0.0,2680365.74,0.0
2019,4127908,1861740.27,1403035.63,458704.64,182431.62,0.0,2044171.89,0.0
2020,4128005,9761674.43,7603852.57,2157821.86,270881.85,0.0,10032556.28,0.0
2021,3300407,54061272.75,36613156.62,17448116.13,8505062.82,0.0,62566335.57,0.0
2019,3301876,23241929.0,23241929.0,0.0,1849003.0,0.0,25090932.0,0.0
2021,3304557,5760187517.69,2853652232.44,2565792591.96,18246850.37,337067796.49,5778434368.06,3674896.8
2020,2400505,45657.4,45657.4,0.0,1453017.07,0.0,1498674.47,0.0
2020,2402501,1054048.57,824091.19,229957.38,15715.67,0.0,1069764.24,0.0
2020,2408904,5646979.85,4281349.15,1365630.7,84196.06,0.0,5731175.91,0.0
2019,2408904,5301983.63,4035647.94,1266335.69,48145.79,0.0,5350129.42,0.0
2021,2409902,2520886.4,2143305.74,377580.66,55901.53,0.0,2576787.93,0.0
2020,2412609,3621851.95,3456264.27,165587.68,53998.18,0.0,3675850.13,0.0
2021,1100023,16398630.46,16235059.73,163570.73,765194.96,0.0,17163825.42,0.0
2021,1101500,824739.68,824739.68,0.0,26553.93,0.0,851293.61,0.0
2019,4300802,4583600.97,4583600.97,0.0,160217.31,0.0,4743818.28,0.0
2019,4306759,203715.0,203715.0,0.0,0.0,0.0,203715.0,0.0
