ano,id_municipio,despesa_pessoal,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador
2021,2709152,1191423.52,432802.78,1788387.06,40594.37,3523006.29,0.0,3523006.29,0.0,0.0,69798.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2902104,1852672.82,38320.03,1341032.21,2085906.68,6196247.96,1955.17,6642992.31,459821.65,0.0,560611.22,-104899.22,317705.0,89866.75,2653.26,1955.17,0.0,4608.43,0.0,695000.0,0.0,0.0
2020,2905107,378410.39,7646.71,167402.12,301812.63,1069562.35,769.82,1827072.4,689971.42,0.0,140300.1,44227.53,73990.4,22541.28,10503.1,743.86,25.96,11272.92,0.0,,,59.32
2021,2908507,995591.85,34718.04,130199.24,874601.68,2504057.94,4384.98,3046599.14,416783.43,0.0,266792.49,59090.6,202154.64,62282.19,3244934.29,4384.98,0.0,3249319.27,0.0,0.0,0.0,545081.41
2020,2909505,315873.27,18725.02,228830.26,299423.15,1122600.05,812.77,1503293.7,301399.79,0.0,185228.61,55245.44,74519.74,23235.65,9335.23,786.81,25.96,10148.0,0.0,,,50.0
2020,2910750,813485.18,16739.84,711352.43,792735.59,3243117.8,1924.52,3692041.51,269982.01,273631.53,325303.97,117665.02,309869.26,56353.16,24242.2,1859.64,64.88,26166.72,0.0,0.0,0.0,137.49
2021,2913200,1890637.45,179454.84,321651.77,1497180.64,5100618.82,2600.67,5486982.18,604930.44,50513.13,844001.24,-339832.94,317179.75,118665.19,7510.05,2600.67,0.0,10110.72,0.0,0.0,0.0,0.0
2019,2913507,1048657.55,38530.2,184289.53,526676.86,2391731.17,5691.43,2824046.67,289626.2,0.0,292731.13,74981.81,300845.9,62016.06,40592.5,5288.8,402.63,46283.93,0.0,,,0.0
2021,2913606,17302508.83,1443341.4,4344583.13,13479014.15,45555210.32,621125.0,53318251.25,9339784.85,0.0,6234351.44,-3019786.97,2751411.37,821918.05,3295992.19,621125.0,0.0,3917117.19,0.0,0.0,0.0,1628633.02
2020,2915106,652337.56,48933.01,39207.3,483492.47,1613975.07,2347.16,2196230.48,457575.45,0.0,272870.34,80285.59,113134.39,42047.21,14385.82,2001.75,345.41,16732.98,4000.0,37000.0,0.0,78.63
2020,2917607,2231413.79,186659.38,1116102.95,2864507.2,8240936.45,6928.23,11059972.29,2197730.1,0.0,1104113.91,411506.16,738139.22,202871.35,78691.28,6694.69,233.54,85619.51,0.0,,,433.0
2020,2301901,1863385.12,47129.89,1314670.31,1410920.29,7438978.97,17041.58,8560889.61,1068083.56,240392.13,904282.27,36785.5,1658198.96,0.0,0.0,16760.89,280.69,17041.58,0.0,0.0,0.0,0.0
2021,2303501,2087888.41,528567.15,816345.42,1326081.23,7649532.0,41745.37,8590102.33,898824.96,134165.0,924564.64,0.0,1831920.15,0.0,0.0,41701.2,44.17,41745.37,0.0,0.0,0.0,0.0
2020,2304400,130767250.62,21380735.56,40680368.75,88658924.11,533888216.53,53822727.2,700968802.65,106243692.74,49175729.73,83089607.19,7014166.18,120135600.57,0.0,65844508.11,17720275.65,36102451.55,119667235.31,0.0,0.0,0.0,0.0
2019,2305407,2120387.0,339797.0,367567.0,54346.0,4628482.0,0.0,4628482.0,0.0,0.0,18280.0,0.0,1728105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2019,2310308,555506.1,87316.71,331784.16,546132.71,2578197.41,3647.3,2848765.71,256921.0,32227.97,96719.68,2000.0,928510.08,0.0,0.0,3629.3,18.0,3647.3,0.0,0.0,0.0,0.0
2019,2312403,3220080.74,316764.86,756463.12,2997855.36,11308667.29,22295.9,14651801.76,2676950.2,234833.52,1185246.99,643888.37,2597422.7,0.0,0.0,22184.6,111.3,22295.9,0.0,0.0,0.0,0.0
2020,2312908,13450252.74,3237488.51,8636621.66,9087744.11,43758364.0,3875.19,44001640.29,239401.1,41658.96,569674.13,0.0,8734923.89,0.0,0.0,3814.05,61.14,3875.19,0.0,0.0,0.0,0.0
2019,3202504,1207385.33,37230.9,211865.62,0.0,2032452.52,0.0,2113789.03,81336.51,0.0,25404.16,0.0,550566.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3202553,363908.2,20517.0,52706.31,76717.86,638832.31,0.0,688832.31,0.0,0.0,5203.1,1000.0,119779.84,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020,3204351,816254.41,45612.0,442389.07,131519.36,1899471.78,0.0,1924683.96,25212.18,0.0,20800.99,0.0,442895.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
