id_municipio,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,volume_agua_produzido,volume_esgoto_tratado
2709152,99.0,55.19,1.0,1.0,2.0,0.0,10465.0,6300.0,2400.0,2000.0
2902104,355.69,117.25,1.0,1.0,8.0,0.0,12293.0,14679.0,1532.15,16.95
2908507,63.54,2.84,1.0,1.0,0.0,0.0,5695.0,472.0,1310.8,40.12
2913200,116.46,64.63,1.0,1.0,1.0,0.0,8922.0,7097.0,1349.06,675.88
2913606,596.56,154.07,1.0,1.0,9.0,0.0,49302.0,35325.0,10996.19,4510.95
2303501,166.69,5.67,1.0,1.0,1.0,0.0,13034.0,543.0,2002.59,38.01
5200258,225.11,430.33,1.0,1.0,0.0,0.0,77278.0,28616.0,14154.98,2304.01
5202155,43.02,16.69,1.0,1.0,0.0,0.0,2480.0,1526.0,293.42,154.54
5211503,597.98,266.55,1.0,1.0,0.0,0.0,40980.0,41049.0,10066.87,6358.77
2111300,2082.08,967.56,1.0,1.0,0.0,0.0,197505.0,91144.0,130152.81,8921.27
3113503,51.82,60.05,1.0,1.0,2.0,1.0,3900.0,2815.0,398.62,178.8
3129400,17.98,23.0,1.0,1.0,0.0,0.0,1806.0,1740.0,222.73,575.0
3130655,37.0,7.89,1.0,1.0,1.0,0.0,1232.0,478.0,144.19,32.69
3132503,112.94,99.92,1.0,1.0,5.0,2.0,10526.0,8893.0,1448.0,81.08
3134608,76.68,46.45,1.0,1.0,0.0,0.0,4015.0,2884.0,617.32,223.69
3135050,133.2,64.96,1.0,1.0,0.0,0.0,8920.0,3197.0,1259.29,277.19
3145356,24.3,15.22,1.0,1.0,2.0,2.0,2832.0,2311.0,340.33,191.49
3150901,40.01,37.1,1.0,1.0,0.0,5.0,1642.0,1124.0,230.91,0.0
3154507,37.13,21.25,1.0,1.0,0.0,0.0,2044.0,1226.0,193.2,92.61
3164308,32.11,37.43,1.0,1.0,0.0,0.0,2503.0,2294.0,355.99,199.97
5101704,93.0,46.0,1.0,1.0,3.0,0.0,9024.0,2000.0,4415.04,0.0
1505502,298.54,44.86,1.0,1.0,13.0,0.0,27137.0,3261.0,9123.27,228.34
2203750,10.0,3.0,1.0,1.0,2.0,0.0,400.0,90.0,100.0,0.0
4106902,7624.22,6194.83,1.0,1.0,0.0,0.0,500609.0,467126.0,123640.87,91576.66
4109708,178.99,29.82,1.0,1.0,5.0,0.0,10371.0,2287.0,1735.8,266.47
4127304,162.0,98.2,1.0,1.0,1.0,0.0,6366.0,3101.0,2131.8,435.6
4127908,43.39,39.19,1.0,1.0,0.0,0.0,1987.0,1546.0,311.79,192.05
3300407,780.0,580.0,1.0,1.0,5.0,2.0,49405.0,40956.0,15510.6,300.0
3304557,10874.23,7009.58,1.0,1.0,0.0,22.0,1409856.0,880189.0,3259.64,346468.38
2409902,38.84,17.67,1.0,1.0,1.0,0.0,3016.0,1548.0,953.88,177.49
1100023,377.91,9.06,1.0,1.0,0.0,0.0,31426.0,692.0,5317.92,78.92
1101500,39.97,19.0,1.0,1.0,0.0,0.0,1047.0,576.0,246.22,0.0
4313508,222.7,25.9,1.0,1.0,0.0,0.0,14244.0,301.0,2373.39,0.0
4203907,187.44,16.61,1.0,1.0,0.0,0.0,7049.0,733.0,1765.48,143.6
2803708,22.45,23.5,1.0,1.0,5.0,0.0,1896.0,2281.0,353.41,26.9
3512100,26.05,28.27,1.0,1.0,1.0,1.0,2369.0,2302.0,485.5,364.03
3519105,74.0,67.0,1.0,1.0,2.0,0.0,4310.0,4203.0,1624.68,807.96
3519709,128.15,55.78,1.0,1.0,1.0,1.0,16193.0,6531.0,3486.3,857.78
3523107,954.98,531.96,1.0,1.0,0.0,0.0,108048.0,70739.0,0.0,1500.18
3524204,35.35,22.94,1.0,1.0,0.0,0.0,2283.0,2419.0,427.1,348.37
3525003,258.2,162.79,1.0,1.0,0.0,0.0,36605.0,27517.0,0.0,1679.38
3529302,395.64,380.72,1.0,1.0,2.0,2.0,31661.0,31557.0,9830.19,6746.92
3531100,440.18,349.33,1.0,1.0,0.0,0.0,41490.0,34078.0,9064.4,3942.86
3551603,121.67,97.81,1.0,1.0,1.0,1.0,9935.0,7801.0,2821.8,1374.79
2910057,222.52,93.48,1.0,1.0,6.0,0.0,17418.0,11328.0,5651.99,1426.0
2914307,47.61,27.0,1.0,1.0,1.0,0.0,2003.0,1500.0,211.17,0.0
2926301,296.34,1.29,1.0,1.0,13.0,0.0,12269.0,217.0,1667.9,20.39
2929503,116.71,2.86,1.0,1.0,4.0,0.0,11174.0,876.0,1937.17,89.59
2310209,93.98,24.82,1.0,1.0,1.0,0.0,4012.0,1727.0,585.84,152.36
2310407,21.78,5.26,1.0,1.0,0.0,0.0,2352.0,438.0,472.59,25.45
3202306,73.0,63.66,1.0,1.0,2.0,2.0,8783.0,7831.0,3110.4,0.0
3204955,36.01,5.64,1.0,1.0,0.0,2.0,2160.0,1186.0,361.71,22.0
3153509,28.87,25.0,1.0,1.0,0.0,1.0,2141.0,2048.0,314.23,0.0
3117009,16.45,15.2,1.0,1.0,2.0,0.0,1778.0,1123.0,218.52,0.0
3131505,31.53,24.57,1.0,1.0,1.0,0.0,3019.0,2385.0,428.05,0.0
3137403,62.27,57.55,1.0,1.0,1.0,,3699.0,4228.0,548.1,0.0
3138625,39.83,38.31,1.0,1.0,0.0,0.0,3005.0,2954.0,358.7,226.23
3138658,33.13,32.71,1.0,1.0,0.0,0.0,2436.0,1037.0,237.12,67.94
3155108,16.44,12.57,1.0,1.0,1.0,0.0,1484.0,1069.0,252.69,0.0
3156700,491.08,327.52,1.0,1.0,0.0,0.0,37707.0,30662.0,15054.05,0.0
3160454,13.88,12.52,1.0,1.0,0.0,0.0,932.0,766.0,99.76,47.82
3168002,153.5,108.88,1.0,1.0,4.0,0.0,11650.0,6663.0,1417.18,453.29
5003900,18.75,2.27,1.0,1.0,0.0,0.0,1019.0,67.0,178.49,3.55
2502508,49.6,30.0,1.0,1.0,0.0,0.0,3589.0,3450.0,691.73,0.0
2502706,10.0,1.0,1.0,1.0,0.0,0.0,500.0,64.0,350.0,0.0
2503902,18.5,1.06,1.0,1.0,1.0,0.0,1860.0,106.0,245.15,9.08
2500700,34.65,16.0,1.0,1.0,0.0,0.0,3150.0,1800.0,697.55,75.0
2606309,86.09,7.35,1.0,1.0,1.0,0.0,1185.0,279.0,228.14,7.45
2607901,1193.39,422.16,1.0,1.0,5.0,4.0,120939.0,26760.0,42144.79,7321.26
4100509,155.28,81.07,1.0,1.0,3.0,0.0,6640.0,4067.0,1042.79,514.24
4128625,23.5,9.41,1.0,1.0,0.0,0.0,1149.0,244.0,183.04,18.86
4104402,45.98,28.35,1.0,1.0,1.0,0.0,2445.0,1446.0,377.84,177.87
4107751,73.01,9.75,1.0,1.0,0.0,0.0,3150.0,352.0,570.18,43.03
4109401,962.7,692.88,1.0,1.0,4.0,1.0,56667.0,46502.0,11083.99,6790.77
4114906,73.99,27.96,1.0,1.0,2.0,0.0,2832.0,685.0,470.73,85.72
4117305,92.32,60.8,1.0,1.0,4.0,0.0,5398.0,3471.0,786.18,407.2
4125704,187.03,125.58,1.0,1.0,2.0,0.0,8359.0,5753.0,1575.41,796.58
4128401,86.84,59.0,1.0,1.0,2.0,0.0,4280.0,3666.0,782.18,439.7
4128559,65.71,55.8,1.0,1.0,1.0,1.0,2869.0,2313.0,517.88,267.42
3300258,176.11,33.2,1.0,1.0,0.0,0.0,13777.0,13777.0,2942.36,2505.0
2406106,60.79,24.04,1.0,1.0,0.0,0.0,4732.0,1278.0,680.51,140.2
2412203,100.07,9.1,1.0,1.0,0.0,0.0,7819.0,76.0,1113.14,10.0
1100254,79.74,1.62,1.0,1.0,3.0,0.0,4201.0,100.0,1151.24,87.0
4313904,104.85,1.0,1.0,1.0,0.0,0.0,13862.0,66.0,3942.38,0.0
4315073,151.0,2.0,1.0,1.0,17.0,0.0,883.0,65.0,116.0,0.0
4208906,936.5,638.4,1.0,1.0,6.0,1.0,44958.0,35841.0,14831.79,7046.4
4219309,285.95,1.43,1.0,1.0,1.0,0.0,15038.0,78.0,5126.48,10.1
2803005,106.95,54.33,1.0,1.0,5.0,3.0,8929.0,7146.0,1751.36,0.0
3501608,984.5,913.53,1.0,1.0,0.0,0.0,84352.0,80870.0,32258.51,9869.83
3505203,203.01,202.57,1.0,1.0,0.0,0.0,15069.0,14833.0,3340.4,2154.0
3506805,77.22,62.57,1.0,1.0,1.0,1.0,4926.0,4728.0,1096.2,725.37
3515202,46.34,38.97,1.0,1.0,1.0,1.0,3362.0,3235.0,580.4,512.65
3517505,64.2,52.2,1.0,1.0,4.0,0.0,7707.0,7230.0,1815.47,1280.0
3521309,91.09,82.49,1.0,1.0,1.0,1.0,6923.0,6852.0,3211.32,1317.39
3533809,20.23,16.84,1.0,1.0,2.0,2.0,1088.0,929.0,193.1,136.8
3536703,179.92,205.76,1.0,1.0,4.0,4.0,17321.0,16785.0,4199.6,2696.58
3540200,100.5,100.5,1.0,1.0,2.0,2.0,12249.0,12196.0,4517.8,3614.24
3549250,8.0,8.0,1.0,1.0,0.0,0.0,765.0,752.0,111.5,88.6
3556909,47.3,47.3,1.0,1.0,0.0,0.0,2872.0,2902.0,590.0,474.0
2907202,221.24,180.0,1.0,1.0,5.0,1.0,13126.0,6860.0,8300.0,0.0
2915403,25.05,14.23,1.0,1.0,1.0,0.0,1997.0,1273.0,242.74,118.17
2917706,134.77,19.4,1.0,0.0,3.0,1.0,8232.0,3415.0,1624.49,415.91
2921708,89.76,67.2,1.0,1.0,3.0,0.0,8313.0,5347.0,932.99,461.55
